SleepHours,StressLevel,ScreenTime,ExerciseHours,SocialInteraction,WaterIntake,WorkPressure,MentalHealthRisk
8,Low,3,1.5,High,3,2,Low Risk
7,Medium,5,1,Medium,2.5,5,Medium Risk
4,High,10,0,Low,1.5,9,High Risk
6,Medium,7,0.5,Medium,2,6,Medium Risk
5,High,9,0,Low,1,8,High Risk
8,Low,2,2,High,3.5,2,Low Risk
7,Low,4,1.5,High,3,3,Low Risk
6,Medium,6,1,Medium,2.5,5,Medium Risk
4,High,11,0,Low,1.2,10,High Risk
5,High,8,0.5,Low,1.5,8,High Risk
9,Low,2,2,High,4,1,Low Risk
7,Medium,5,1,Medium,2.8,5,Medium Risk
3,High,12,0,Low,1,10,High Risk
6,Medium,7,1,Medium,2,6,Medium Risk
8,Low,3,2,High,3.5,2,Low Risk
5,High,9,0,Low,1.5,9,High Risk
7,Low,4,1.5,High,3,3,Low Risk
6,Medium,6,1,Medium,2.5,5,Medium Risk
4,High,10,0,Low,1.2,9,High Risk
8,Low,2,2,High,4,2,Low Risk
7,Medium,5,1,Medium,2.5,5,Medium Risk
5,High,8,0.5,Low,1.8,8,High Risk
9,Low,3,2,High,3.5,2,Low Risk
6,Medium,7,1,Medium,2,6,Medium Risk
4,High,11,0,Low,1,10,High Risk
8,Low,2,1.5,High,3.5,2,Low Risk
7,Medium,6,1,Medium,2.5,5,Medium Risk
5,High,9,0,Low,1.5,8,High Risk
9,Low,3,2,High,4,1,Low Risk
6,Medium,7,1,Medium,2.2,6,Medium Risk
4,High,10,0,Low,1.2,9,High Risk
8,Low,2,2,High,3.8,2,Low Risk
7,Medium,5,1,Medium,2.5,5,Medium Risk
5,High,8,0.5,Low,1.7,8,High Risk
9,Low,3,2,High,4,1,Low Risk
6,Medium,6,1,Medium,2.5,5,Medium Risk
3,High,12,0,Low,1,10,High Risk
8,Low,2,2,High,3.5,2,Low Risk
7,Medium,5,1,Medium,2.8,5,Medium Risk
5,High,9,0,Low,1.5,8,High Risk
9,Low,3,2,High,4,1,Low Risk
6,Medium,7,1,Medium,2,6,Medium Risk
4,High,11,0,Low,1.1,10,High Risk
8,Low,2,1.5,High,3.6,2,Low Risk
7,Medium,6,1,Medium,2.5,5,Medium Risk
5,High,8,0.5,Low,1.8,8,High Risk
9,Low,3,2,High,4,1,Low Risk
6,Medium,7,1,Medium,2.4,6,Medium Risk
4,High,10,0,Low,1.3,9,High Risk
8,Low,2,2,High,3.7,2,Low Risk
7,Low,3,1.5,High,3.2,2,Low Risk
6,Medium,6,1,Medium,2.4,5,Medium Risk
4,High,9,0,Low,1.5,9,High Risk
8,Low,2,2,High,4,1,Low Risk
5,High,8,0.5,Low,1.8,8,High Risk
7,Medium,5,1,Medium,2.5,6,Medium Risk
9,Low,2,2.5,High,4.2,1,Low Risk
3,High,11,0,Low,1,10,High Risk
6,Medium,7,1,Medium,2.2,5,Medium Risk
8,Low,3,1.8,High,3.5,2,Low Risk
5,High,9,0.2,Low,1.4,9,High Risk
7,Medium,6,1,Medium,2.7,5,Medium Risk
8,Low,2,2,High,3.8,2,Low Risk
4,High,10,0,Low,1.2,10,High Risk
6,Medium,5,1.2,Medium,2.5,6,Medium Risk
9,Low,3,2,High,4,1,Low Risk
5,High,8,0.5,Low,1.7,8,High Risk
7,Medium,6,1,Medium,2.4,5,Medium Risk
8,Low,2,2,High,3.6,2,Low Risk
4,High,11,0,Low,1.1,10,High Risk
6,Medium,7,1,Medium,2.3,6,Medium Risk
9,Low,3,2.5,High,4.1,1,Low Risk
5,High,9,0.3,Low,1.5,9,High Risk
7,Medium,5,1,Medium,2.6,5,Medium Risk
8,Low,2,2,High,3.9,2,Low Risk
3,High,12,0,Low,1,10,High Risk
6,Medium,6,1.1,Medium,2.4,5,Medium Risk
9,Low,3,2,High,4,1,Low Risk
